round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,novelty,clustering_diff,degree_kl,replay_size
25,0.0936637761135199,0.020258863252673044,36.0,1777.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0582010582010582,0.32122169562927855,3.145945945945946,,,26.0
26,0.09410721324398896,0.027257240204429302,48.0,1761.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12698412698412698,0.3233280674038968,3.0268817204301075,,,27.0
27,0.09420575482853764,0.018954623779437105,33.0,1741.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07407407407407407,0.33543970510795157,3.046153846153846,,,28.0
28,0.09455065037445802,0.021372328458942633,38.0,1778.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.3175355450236967,3.295,,,29.0
29,0.09474773354355538,0.02227298686464877,39.0,1751.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10582010582010581,0.3175355450236967,3.0277777777777777,,,30.0
30,0.09504335829720142,0.029883785279468732,54.0,1807.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.3080568720379147,3.3807106598984773,0.03503520959279739,1.1285235897148422,31.0
31,0.09519117067402444,0.02164009111617312,38.0,1756.0,189.0,0.0,1.0,1.0,1.0,1.0,0.15343915343915343,0.31332280147446023,2.73,,,32.0
32,0.09558533701221916,0.02159090909090909,38.0,1760.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.3264876250658241,3.0108108108108107,,,33.0
33,0.09622585731178557,0.02621082621082621,46.0,1755.0,189.0,0.0,1.0,1.0,1.0,1.0,0.09523809523809523,0.3175355450236967,3.041025641025641,,,34.0
34,0.09657075285770596,0.021627774615822423,38.0,1757.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.31174302264349657,2.963157894736842,,,35.0
35,0.0967678360268033,0.022323983972524327,39.0,1747.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07407407407407407,0.32385466034755134,3.121693121693122,,,36.0
36,0.09686637761135199,0.014116318464144552,25.0,1771.0,189.0,0.0,1.0,1.0,1.0,1.0,0.042328042328042326,0.3091100579252238,3.17,,,37.0
37,0.09706346078044935,0.017827298050139277,32.0,1795.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.3091100579252238,2.8777777777777778,,,38.0
38,0.0971127315727237,0.02411665731912507,43.0,1783.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.30173775671406006,3.04,,,39.0
39,0.09726054394954671,0.016237402015677492,29.0,1786.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0582010582010582,0.32490784623486046,2.942105263157895,,,40.0
40,0.09755616870319275,0.027011817670230726,48.0,1777.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12698412698412698,0.32490784623486046,3.1076923076923078,0.029035521603812092,1.1835781462179846,41.0
41,0.0977532518722901,0.019176536943034405,34.0,1773.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0582010582010582,0.3154291732490785,2.882051282051282,,,42.0
